accession,entry_name,protein_name,gene_name,gene_synonyms,organism,go_terms,ec_numbers,interpro,pfam
Q02586,CURC_STRCN,Polyketide synthase CurC,curC,,Streptomyces cyaneus (Streptomyces curacoi),GO:0017000 (P:antibiotic biosynthetic process),,IPR013096 (Cupin_2); IPR052044 (PKS_Associated_Protein); IPR016672 (Polyketide_Synth_CurC_prd); IPR014710 (RmlC-like_jellyroll); IPR011051 (RmlC_Cupin_sf),PF07883 (Cupin_2)
Q02587,CURD_STRCN,Polyketide synthase CurD,curD,,Streptomyces cyaneus (Streptomyces curacoi),GO:0017000 (P:antibiotic biosynthetic process),,IPR007138 (ABM_dom); IPR011008 (Dimeric_a/b-barrel); IPR007575 (SchA_CurD-like),PF03992 (ABM); PF04486 (SchA_CurD)
Q02588,CURG_STRCN,Polyketide synthase CurG,curG,,Streptomyces cyaneus (Streptomyces curacoi),GO:0017000 (P:antibiotic biosynthetic process); GO:0030639 (P:polyketide biosynthetic process),,IPR011008 (Dimeric_a/b-barrel); IPR006765 (Polyketide_synth_cyclase); IPR038474 (Polyketide_synth_cyclase_sf),PF04673 (Cyclase_polyket)
L7X8J4,CURS1_ASPTE,Highly reducing polyketide synthase curS1,curS1,,Aspergillus terreus,GO:0004312 (F:fatty acid synthase activity); GO:0016491 (F:oxidoreductase activity); GO:0031177 (F:phosphopantetheine binding); GO:0006633 (P:fatty acid biosynthetic process); GO:1901336 (P:lactone biosynthetic process); GO:0030639 (P:polyketide biosynthetic process),2.3.1,IPR001227 (Ac_transferase_dom_sf); IPR036736 (ACP-like_sf); IPR014043 (Acyl_transferase_dom); IPR016035 (Acyl_Trfase/lysoPLipase); IPR013154 (ADH-like_N); IPR020843 (ER); IPR011032 (GroES-like_sf); IPR014031 (Ketoacyl_synth_C); IPR014030 (Ketoacyl_synth_N); IPR057326 (KR_dom); IPR016036 (Malonyl_transacylase_ACP-bd); IPR036291 (NAD(P)-bd_dom_sf); IPR056501 (NAD-bd_HRPKS_sdrA); IPR032821 (PKS_assoc); IPR020841 (PKS_Beta-ketoAc_synthase_dom); IPR042104 (PKS_dehydratase_sf); IPR020807 (PKS_DH); IPR049551 (PKS_DH_C); IPR049552 (PKS_DH_N); IPR013968 (PKS_KR); IPR049900 (PKS_mFAS_DH); IPR050091 (PKS_NRPS_Biosynth_Enz); IPR020806 (PKS_PP-bd); IPR009081 (PP-bd_ACP); IPR006162 (Ppantetheine_attach_site); IPR016039 (Thiolase-like),PF23297 (ACP_SdgA_C); PF00698 (Acyl_transf_1); PF08240 (ADH_N); PF13602 (ADH_zinc_N_2); PF16197 (KAsynt_C_assoc); PF00109 (ketoacyl-synt); PF02801 (Ketoacyl-synt_C); PF08659 (KR); PF23114 (NAD-bd_HRPKS_sdrA); PF21089 (PKS_DH_N); PF14765 (PS-DH)
L7XAV2,CURS2_ASPTE,Non-reducing polyketide synthase curS2,curS2,,Aspergillus terreus,GO:0004315 (F:3-oxoacyl-[acyl-carrier-protein] synthase activity); GO:0004312 (F:fatty acid synthase activity); GO:0031177 (F:phosphopantetheine binding); GO:0006633 (P:fatty acid biosynthetic process); GO:0044550 (P:secondary metabolite biosynthetic process),2.3.1,IPR029058 (AB_hydrolase_fold); IPR001227 (Ac_transferase_dom_sf); IPR036736 (ACP-like_sf); IPR014043 (Acyl_transferase_dom); IPR016035 (Acyl_Trfase/lysoPLipase); IPR018201 (Ketoacyl_synth_AS); IPR014031 (Ketoacyl_synth_C); IPR014030 (Ketoacyl_synth_N); IPR016036 (Malonyl_transacylase_ACP-bd); IPR020841 (PKS_Beta-ketoAc_synthase_dom); IPR042104 (PKS_dehydratase_sf); IPR049900 (PKS_mFAS_DH); IPR050091 (PKS_NRPS_Biosynth_Enz); IPR020806 (PKS_PP-bd); IPR009081 (PP-bd_ACP); IPR006162 (Ppantetheine_attach_site); IPR030918 (PT_fungal_PKS); IPR032088 (SAT); IPR001031 (Thioesterase); IPR016039 (Thiolase-like),PF00698 (Acyl_transf_1); PF22621 (CurL-like_PKS_C); PF00109 (ketoacyl-synt); PF02801 (Ketoacyl-synt_C); PF00550 (PP-binding); PF16073 (SAT); PF00975 (Thioesterase)
Q02055,CYPK_STRCO,Actinorhodin polyketide synthase bifunctional cyclase/dehydratase,,,Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145),GO:0017000 (P:antibiotic biosynthetic process),,IPR005031 (COQ10_START); IPR023393 (START-like_dom_sf),PF03364 (Polyketide_cyc)
P41178,CYPK_STRVG,Granaticin polyketide synthase bifunctional cyclase/dehydratase,,,Streptomyces virginiae (Streptomyces cinnamonensis),GO:0017000 (P:antibiotic biosynthetic process),,IPR005031 (COQ10_START); IPR023393 (START-like_dom_sf),PF03364 (Polyketide_cyc)
P16560,CYPK_STRVN,Granaticin polyketide synthase bifunctional cyclase/dehydratase,gra-orf4,,Streptomyces violaceoruber,GO:0017000 (P:antibiotic biosynthetic process),,IPR019587 (Polyketide_cyclase/dehydratase); IPR023393 (START-like_dom_sf),PF10604 (Polyketide_cyc2)
Q5AUX7,DBAI_EMENI,Non-reducing polyketide synthase dbaI,dbaI,pkeA,Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) (Aspergillus nidulans),GO:0016746 (F:acyltransferase activity); GO:0008168 (F:methyltransferase activity); GO:0031177 (F:phosphopantetheine binding); GO:0006633 (P:fatty acid biosynthetic process); GO:0032259 (P:methylation); GO:0044550 (P:secondary metabolite biosynthetic process),2.3.1,IPR001227 (Ac_transferase_dom_sf); IPR036736 (ACP-like_sf); IPR014043 (Acyl_transferase_dom); IPR016035 (Acyl_Trfase/lysoPLipase); IPR013120 (FAR_NAD-bd); IPR041068 (HTH_51); IPR014031 (Ketoacyl_synth_C); IPR014030 (Ketoacyl_synth_N); IPR016036 (Malonyl_transacylase_ACP-bd); IPR013217 (Methyltransf_12); IPR036291 (NAD(P)-bd_dom_sf); IPR020841 (PKS_Beta-ketoAc_synthase_dom); IPR042104 (PKS_dehydratase_sf); IPR049900 (PKS_mFAS_DH); IPR020806 (PKS_PP-bd); IPR050444 (Polyketide_Synthase); IPR009081 (PP-bd_ACP); IPR006162 (Ppantetheine_attach_site); IPR029063 (SAM-dependent_MTases_sf); IPR032088 (SAT); IPR016039 (Thiolase-like),PF00698 (Acyl_transf_1); PF18558 (HTH_51); PF00109 (ketoacyl-synt); PF02801 (Ketoacyl-synt_C); PF08242 (Methyltransf_12); PF07993 (NAD_binding_4); PF00550 (PP-binding); PF16073 (SAT)
D2E9X0,DEP5_ALTBR,Reducing polyketide synthase DEP5,DEP5,PKS9,Alternaria brassicicola (Dark leaf spot agent),GO:0004315 (F:3-oxoacyl-[acyl-carrier-protein] synthase activity); GO:0004312 (F:fatty acid synthase activity); GO:0016491 (F:oxidoreductase activity); GO:0006633 (P:fatty acid biosynthetic process); GO:0044550 (P:secondary metabolite biosynthetic process),2.3.1,IPR001227 (Ac_transferase_dom_sf); IPR036736 (ACP-like_sf); IPR014043 (Acyl_transferase_dom); IPR016035 (Acyl_Trfase/lysoPLipase); IPR020843 (ER); IPR011032 (GroES-like_sf); IPR018201 (Ketoacyl_synth_AS); IPR014031 (Ketoacyl_synth_C); IPR014030 (Ketoacyl_synth_N); IPR057326 (KR_dom); IPR016036 (Malonyl_transacylase_ACP-bd); IPR036291 (NAD(P)-bd_dom_sf); IPR032821 (PKS_assoc); IPR020841 (PKS_Beta-ketoAc_synthase_dom); IPR042104 (PKS_dehydratase_sf); IPR020807 (PKS_DH); IPR049551 (PKS_DH_C); IPR049552 (PKS_DH_N); IPR013968 (PKS_KR); IPR049900 (PKS_mFAS_DH); IPR050091 (PKS_NRPS_Biosynth_Enz); IPR009081 (PP-bd_ACP); IPR006162 (Ppantetheine_attach_site); IPR016039 (Thiolase-like),PF00698 (Acyl_transf_1); PF16197 (KAsynt_C_assoc); PF00109 (ketoacyl-synt); PF02801 (Ketoacyl-synt_C); PF08659 (KR); PF21089 (PKS_DH_N); PF14765 (PS-DH)
A0A0N0DCA3,DEP5_FUSLA,Reducing polyketide synthase DEP5,DEP5,,Fusarium langsethiae,GO:0004315 (F:3-oxoacyl-[acyl-carrier-protein] synthase activity); GO:0004312 (F:fatty acid synthase activity); GO:0016491 (F:oxidoreductase activity); GO:0006633 (P:fatty acid biosynthetic process); GO:0030639 (P:polyketide biosynthetic process),2.3.1,IPR001227 (Ac_transferase_dom_sf); IPR036736 (ACP-like_sf); IPR014043 (Acyl_transferase_dom); IPR016035 (Acyl_Trfase/lysoPLipase); IPR020843 (ER); IPR011032 (GroES-like_sf); IPR018201 (Ketoacyl_synth_AS); IPR014031 (Ketoacyl_synth_C); IPR014030 (Ketoacyl_synth_N); IPR057326 (KR_dom); IPR016036 (Malonyl_transacylase_ACP-bd); IPR036291 (NAD(P)-bd_dom_sf); IPR056501 (NAD-bd_HRPKS_sdrA); IPR032821 (PKS_assoc); IPR020841 (PKS_Beta-ketoAc_synthase_dom); IPR042104 (PKS_dehydratase_sf); IPR020807 (PKS_DH); IPR049551 (PKS_DH_C); IPR049552 (PKS_DH_N); IPR013968 (PKS_KR); IPR049900 (PKS_mFAS_DH); IPR050091 (PKS_NRPS_Biosynth_Enz); IPR009081 (PP-bd_ACP); IPR006162 (Ppantetheine_attach_site); IPR016039 (Thiolase-like),PF23297 (ACP_SdgA_C); PF00698 (Acyl_transf_1); PF16197 (KAsynt_C_assoc); PF00109 (ketoacyl-synt); PF02801 (Ketoacyl-synt_C); PF08659 (KR); PF23114 (NAD-bd_HRPKS_sdrA); PF21089 (PKS_DH_N); PF14765 (PS-DH)
A0A0N7D483,DHC1_ALTCI,Polyketide synthase-related protein Dhc1,Dhc1,,Alternaria cinerariae,GO:0016491 (F:oxidoreductase activity); GO:0031177 (F:phosphopantetheine binding); GO:0016740 (F:transferase activity),2.3.1,IPR036736 (ACP-like_sf); IPR013120 (FAR_NAD-bd); IPR036291 (NAD(P)-bd_dom_sf); IPR020806 (PKS_PP-bd); IPR009081 (PP-bd_ACP),PF07993 (NAD_binding_4); PF00550 (PP-binding)
A0A0N7D4P6,DHC3_ALTCI,Highly reducing polyketide synthase Dhc3,Dhc3,,Alternaria cinerariae,GO:0004312 (F:fatty acid synthase activity); GO:0016491 (F:oxidoreductase activity); GO:0031177 (F:phosphopantetheine binding); GO:0006633 (P:fatty acid biosynthetic process); GO:1901336 (P:lactone biosynthetic process); GO:0030639 (P:polyketide biosynthetic process),2.3.1,IPR001227 (Ac_transferase_dom_sf); IPR036736 (ACP-like_sf); IPR014043 (Acyl_transferase_dom); IPR016035 (Acyl_Trfase/lysoPLipase); IPR013154 (ADH-like_N); IPR020843 (ER); IPR011032 (GroES-like_sf); IPR014031 (Ketoacyl_synth_C); IPR014030 (Ketoacyl_synth_N); IPR057326 (KR_dom); IPR016036 (Malonyl_transacylase_ACP-bd); IPR036291 (NAD(P)-bd_dom_sf); IPR056501 (NAD-bd_HRPKS_sdrA); IPR032821 (PKS_assoc); IPR020841 (PKS_Beta-ketoAc_synthase_dom); IPR042104 (PKS_dehydratase_sf); IPR020807 (PKS_DH); IPR049551 (PKS_DH_C); IPR049552 (PKS_DH_N); IPR013968 (PKS_KR); IPR049900 (PKS_mFAS_DH); IPR050091 (PKS_NRPS_Biosynth_Enz); IPR020806 (PKS_PP-bd); IPR009081 (PP-bd_ACP); IPR006162 (Ppantetheine_attach_site); IPR016039 (Thiolase-like),PF23297 (ACP_SdgA_C); PF00698 (Acyl_transf_1); PF08240 (ADH_N); PF13602 (ADH_zinc_N_2); PF16197 (KAsynt_C_assoc); PF00109 (ketoacyl-synt); PF02801 (Ketoacyl-synt_C); PF08659 (KR); PF23114 (NAD-bd_HRPKS_sdrA); PF21089 (PKS_DH_N); PF14765 (PS-DH)
A0A0N7D745,DHC5_ALTCI,Non-reducing polyketide synthase Dhc5,Dhc5,,Alternaria cinerariae,GO:0004315 (F:3-oxoacyl-[acyl-carrier-protein] synthase activity); GO:0004312 (F:fatty acid synthase activity); GO:0031177 (F:phosphopantetheine binding); GO:0006633 (P:fatty acid biosynthetic process); GO:0044550 (P:secondary metabolite biosynthetic process),2.3.1,IPR029058 (AB_hydrolase_fold); IPR001227 (Ac_transferase_dom_sf); IPR036736 (ACP-like_sf); IPR014043 (Acyl_transferase_dom); IPR016035 (Acyl_Trfase/lysoPLipase); IPR018201 (Ketoacyl_synth_AS); IPR014031 (Ketoacyl_synth_C); IPR014030 (Ketoacyl_synth_N); IPR016036 (Malonyl_transacylase_ACP-bd); IPR020841 (PKS_Beta-ketoAc_synthase_dom); IPR042104 (PKS_dehydratase_sf); IPR049900 (PKS_mFAS_DH); IPR050091 (PKS_NRPS_Biosynth_Enz); IPR020806 (PKS_PP-bd); IPR009081 (PP-bd_ACP); IPR006162 (Ppantetheine_attach_site); IPR030918 (PT_fungal_PKS); IPR032088 (SAT); IPR020802 (TesA-like); IPR001031 (Thioesterase); IPR016039 (Thiolase-like),PF00698 (Acyl_transf_1); PF22621 (CurL-like_PKS_C); PF00109 (ketoacyl-synt); PF02801 (Ketoacyl-synt_C); PF00550 (PP-binding); PF16073 (SAT); PF00975 (Thioesterase)
P16542,DHK1_STRVN,Granaticin polyketide synthase putative ketoacyl reductase 1,gra-orf5,,Streptomyces violaceoruber,GO:0016491 (F:oxidoreductase activity); GO:0017000 (P:antibiotic biosynthetic process); GO:0032787 (P:monocarboxylic acid metabolic process),1.3.1,IPR036291 (NAD(P)-bd_dom_sf); IPR020904 (Sc_DH/Rdtase_CS); IPR050259 (SDR); IPR002347 (SDR_fam),PF00106 (adh_short)
P16543,DHK2_STRVN,Granaticin polyketide synthase putative ketoacyl reductase 2,gra-orf6,,Streptomyces violaceoruber,GO:0016491 (F:oxidoreductase activity); GO:0017000 (P:antibiotic biosynthetic process),1.3.1,IPR036291 (NAD(P)-bd_dom_sf); IPR002347 (SDR_fam),PF13561 (adh_short_C2)
P41177,DHKR_STRVG,Monensin polyketide synthase putative ketoacyl reductase,,,Streptomyces virginiae (Streptomyces cinnamonensis),GO:0016491 (F:oxidoreductase activity); GO:0017000 (P:antibiotic biosynthetic process); GO:0032787 (P:monocarboxylic acid metabolic process),1.3.1,IPR057326 (KR_dom); IPR036291 (NAD(P)-bd_dom_sf); IPR020904 (Sc_DH/Rdtase_CS); IPR050259 (SDR); IPR002347 (SDR_fam),PF00106 (adh_short)
A0A4P8DJH6,DMR17_CRYX8,Scytalone dehydratase-like protein dmxR17,dmxR17,,Cryptosporiopsis sp. (strain 8999),GO:0030411 (F:scytalone dehydratase activity); GO:0006582 (P:melanin metabolic process),4.2.1,IPR032710 (NTF2-like_dom_sf); IPR004235 (Scytalone_dehydratase); IPR049884 (Scytalone_dh),PF02982 (Scytalone_dh)
A0A4P8DJV2,DMXL2_CRYX8,Highly reducing polyketide synthase dmxL2,dmxL2,,Cryptosporiopsis sp. (strain 8999),GO:0004315 (F:3-oxoacyl-[acyl-carrier-protein] synthase activity); GO:0004312 (F:fatty acid synthase activity); GO:0016491 (F:oxidoreductase activity); GO:0031177 (F:phosphopantetheine binding); GO:0008270 (F:zinc ion binding); GO:0006633 (P:fatty acid biosynthetic process); GO:1901336 (P:lactone biosynthetic process); GO:0044550 (P:secondary metabolite biosynthetic process),2.3.1,IPR001227 (Ac_transferase_dom_sf); IPR036736 (ACP-like_sf); IPR014043 (Acyl_transferase_dom); IPR016035 (Acyl_Trfase/lysoPLipase); IPR013149 (ADH-like_C); IPR013154 (ADH-like_N); IPR020843 (ER); IPR011032 (GroES-like_sf); IPR018201 (Ketoacyl_synth_AS); IPR014031 (Ketoacyl_synth_C); IPR014030 (Ketoacyl_synth_N); IPR057326 (KR_dom); IPR016036 (Malonyl_transacylase_ACP-bd); IPR036291 (NAD(P)-bd_dom_sf); IPR032821 (PKS_assoc); IPR020841 (PKS_Beta-ketoAc_synthase_dom); IPR042104 (PKS_dehydratase_sf); IPR020807 (PKS_DH); IPR049551 (PKS_DH_C); IPR049552 (PKS_DH_N); IPR013968 (PKS_KR); IPR049900 (PKS_mFAS_DH); IPR050091 (PKS_NRPS_Biosynth_Enz); IPR020806 (PKS_PP-bd); IPR009081 (PP-bd_ACP); IPR006162 (Ppantetheine_attach_site); IPR002364 (Quin_OxRdtase/zeta-crystal_CS); IPR016039 (Thiolase-like),PF23297 (ACP_SdgA_C); PF00698 (Acyl_transf_1); PF08240 (ADH_N); PF00107 (ADH_zinc_N); PF16197 (KAsynt_C_assoc); PF00109 (ketoacyl-synt); PF02801 (Ketoacyl-synt_C); PF08659 (KR); PF21089 (PKS_DH_N); PF14765 (PS-DH)
P9WEX0,DPASA_APISA,Non-reducing polyketide synthase dpasA,dpasA,,Apiospora sacchari (Arthrinium sacchari),GO:0004315 (F:3-oxoacyl-[acyl-carrier-protein] synthase activity); GO:0004312 (F:fatty acid synthase activity); GO:0008168 (F:methyltransferase activity); GO:0006633 (P:fatty acid biosynthetic process); GO:0032259 (P:methylation); GO:0044550 (P:secondary metabolite biosynthetic process); GO:0016114 (P:terpenoid biosynthetic process),2.3.1,IPR001227 (Ac_transferase_dom_sf); IPR036736 (ACP-like_sf); IPR014043 (Acyl_transferase_dom); IPR016035 (Acyl_Trfase/lysoPLipase); IPR041068 (HTH_51); IPR018201 (Ketoacyl_synth_AS); IPR014031 (Ketoacyl_synth_C); IPR014030 (Ketoacyl_synth_N); IPR016036 (Malonyl_transacylase_ACP-bd); IPR013217 (Methyltransf_12); IPR020841 (PKS_Beta-ketoAc_synthase_dom); IPR042104 (PKS_dehydratase_sf); IPR049900 (PKS_mFAS_DH); IPR050091 (PKS_NRPS_Biosynth_Enz); IPR009081 (PP-bd_ACP); IPR029063 (SAM-dependent_MTases_sf); IPR032088 (SAT); IPR016039 (Thiolase-like),PF00698 (Acyl_transf_1); PF18558 (HTH_51); PF00109 (ketoacyl-synt); PF02801 (Ketoacyl-synt_C); PF08242 (Methyltransf_12); PF00550 (PP-binding); PF16073 (SAT)
A0A1B7YCC9,DPCHA_COLHI,Non-reducing polyketide synthase dpchA,dpchA,,Colletotrichum higginsianum (strain IMI 349063) (Crucifer anthracnose fungus),GO:0004315 (F:3-oxoacyl-[acyl-carrier-protein] synthase activity); GO:0004312 (F:fatty acid synthase activity); GO:0008168 (F:methyltransferase activity); GO:0006633 (P:fatty acid biosynthetic process); GO:0032259 (P:methylation); GO:0044550 (P:secondary metabolite biosynthetic process); GO:0016114 (P:terpenoid biosynthetic process),2.3.1,IPR001227 (Ac_transferase_dom_sf); IPR036736 (ACP-like_sf); IPR014043 (Acyl_transferase_dom); IPR016035 (Acyl_Trfase/lysoPLipase); IPR041068 (HTH_51); IPR018201 (Ketoacyl_synth_AS); IPR014031 (Ketoacyl_synth_C); IPR014030 (Ketoacyl_synth_N); IPR016036 (Malonyl_transacylase_ACP-bd); IPR013217 (Methyltransf_12); IPR020841 (PKS_Beta-ketoAc_synthase_dom); IPR042104 (PKS_dehydratase_sf); IPR049900 (PKS_mFAS_DH); IPR050091 (PKS_NRPS_Biosynth_Enz); IPR009081 (PP-bd_ACP); IPR029063 (SAM-dependent_MTases_sf); IPR032088 (SAT); IPR016039 (Thiolase-like),PF00698 (Acyl_transf_1); PF18558 (HTH_51); PF00109 (ketoacyl-synt); PF02801 (Ketoacyl-synt_C); PF08242 (Methyltransf_12); PF00550 (PP-binding); PF16073 (SAT)
I1RL11,DPFGA_GIBZE,Non-reducing polyketide synthase dpfgA,dpfgA,PKS15,Gibberella zeae (strain ATCC MYA-4620 / CBS 123657 / FGSC 9075 / NRRL 31084 / PH-1) (Wheat head blight fungus) (Fusarium graminearum),GO:0004315 (F:3-oxoacyl-[acyl-carrier-protein] synthase activity); GO:0004312 (F:fatty acid synthase activity); GO:0008168 (F:methyltransferase activity); GO:0006633 (P:fatty acid biosynthetic process); GO:0032259 (P:methylation); GO:0044550 (P:secondary metabolite biosynthetic process); GO:0016114 (P:terpenoid biosynthetic process),2.3.1,IPR001227 (Ac_transferase_dom_sf); IPR036736 (ACP-like_sf); IPR014043 (Acyl_transferase_dom); IPR016035 (Acyl_Trfase/lysoPLipase); IPR041068 (HTH_51); IPR018201 (Ketoacyl_synth_AS); IPR014031 (Ketoacyl_synth_C); IPR014030 (Ketoacyl_synth_N); IPR016036 (Malonyl_transacylase_ACP-bd); IPR013217 (Methyltransf_12); IPR020841 (PKS_Beta-ketoAc_synthase_dom); IPR042104 (PKS_dehydratase_sf); IPR049900 (PKS_mFAS_DH); IPR050091 (PKS_NRPS_Biosynth_Enz); IPR009081 (PP-bd_ACP); IPR029063 (SAM-dependent_MTases_sf); IPR032088 (SAT); IPR016039 (Thiolase-like),PF00698 (Acyl_transf_1); PF18558 (HTH_51); PF00109 (ketoacyl-synt); PF02801 (Ketoacyl-synt_C); PF08242 (Methyltransf_12); PF00550 (PP-binding); PF16073 (SAT)
P9WEX6,DPMAA_METAN,Non-reducing polyketide synthase dpmaA,dpmaA,,Metarhizium anisopliae (Entomophthora anisopliae),GO:0004315 (F:3-oxoacyl-[acyl-carrier-protein] synthase activity); GO:0004312 (F:fatty acid synthase activity); GO:0008168 (F:methyltransferase activity); GO:0006633 (P:fatty acid biosynthetic process); GO:0032259 (P:methylation); GO:0044550 (P:secondary metabolite biosynthetic process); GO:0016114 (P:terpenoid biosynthetic process),2.3.1,IPR001227 (Ac_transferase_dom_sf); IPR036736 (ACP-like_sf); IPR014043 (Acyl_transferase_dom); IPR016035 (Acyl_Trfase/lysoPLipase); IPR041068 (HTH_51); IPR018201 (Ketoacyl_synth_AS); IPR014031 (Ketoacyl_synth_C); IPR014030 (Ketoacyl_synth_N); IPR016036 (Malonyl_transacylase_ACP-bd); IPR013217 (Methyltransf_12); IPR020841 (PKS_Beta-ketoAc_synthase_dom); IPR042104 (PKS_dehydratase_sf); IPR049900 (PKS_mFAS_DH); IPR050091 (PKS_NRPS_Biosynth_Enz); IPR009081 (PP-bd_ACP); IPR029063 (SAM-dependent_MTases_sf); IPR032088 (SAT); IPR016039 (Thiolase-like),PF00698 (Acyl_transf_1); PF18558 (HTH_51); PF00109 (ketoacyl-synt); PF02801 (Ketoacyl-synt_C); PF08242 (Methyltransf_12); PF00550 (PP-binding); PF16073 (SAT)
K2QVI8,DPMPA_MACPH,Non-reducing polyketide synthase dpmpA,dpmpA,,Macrophomina phaseolina (strain MS6) (Charcoal rot fungus),GO:0004315 (F:3-oxoacyl-[acyl-carrier-protein] synthase activity); GO:0004312 (F:fatty acid synthase activity); GO:0031177 (F:phosphopantetheine binding); GO:0006633 (P:fatty acid biosynthetic process); GO:0044550 (P:secondary metabolite biosynthetic process); GO:0016114 (P:terpenoid biosynthetic process),2.3.1,IPR001227 (Ac_transferase_dom_sf); IPR036736 (ACP-like_sf); IPR014043 (Acyl_transferase_dom); IPR016035 (Acyl_Trfase/lysoPLipase); IPR041068 (HTH_51); IPR018201 (Ketoacyl_synth_AS); IPR014031 (Ketoacyl_synth_C); IPR014030 (Ketoacyl_synth_N); IPR016036 (Malonyl_transacylase_ACP-bd); IPR013217 (Methyltransf_12); IPR020841 (PKS_Beta-ketoAc_synthase_dom); IPR042104 (PKS_dehydratase_sf); IPR049900 (PKS_mFAS_DH); IPR050091 (PKS_NRPS_Biosynth_Enz); IPR020806 (PKS_PP-bd); IPR009081 (PP-bd_ACP); IPR006162 (Ppantetheine_attach_site); IPR029063 (SAM-dependent_MTases_sf); IPR016039 (Thiolase-like),PF00698 (Acyl_transf_1); PF18558 (HTH_51); PF00109 (ketoacyl-synt); PF02801 (Ketoacyl-synt_C); PF08242 (Methyltransf_12); PF00550 (PP-binding)
A0A0U4ZX08,DRTA_ASPCI,Low-reducing polyketide synthase drtA,drtA,,Aspergillus calidoustus,GO:0004312 (F:fatty acid synthase activity); GO:0016491 (F:oxidoreductase activity); GO:0031177 (F:phosphopantetheine binding); GO:0006633 (P:fatty acid biosynthetic process); GO:0030639 (P:polyketide biosynthetic process); GO:0016114 (P:terpenoid biosynthetic process),2.3.1,IPR001227 (Ac_transferase_dom_sf); IPR036736 (ACP-like_sf); IPR014043 (Acyl_transferase_dom); IPR016035 (Acyl_Trfase/lysoPLipase); IPR013154 (ADH-like_N); IPR020843 (ER); IPR011032 (GroES-like_sf); IPR014031 (Ketoacyl_synth_C); IPR014030 (Ketoacyl_synth_N); IPR057326 (KR_dom); IPR016036 (Malonyl_transacylase_ACP-bd); IPR036291 (NAD(P)-bd_dom_sf); IPR056501 (NAD-bd_HRPKS_sdrA); IPR032821 (PKS_assoc); IPR020841 (PKS_Beta-ketoAc_synthase_dom); IPR042104 (PKS_dehydratase_sf); IPR020807 (PKS_DH); IPR049551 (PKS_DH_C); IPR049552 (PKS_DH_N); IPR013968 (PKS_KR); IPR049900 (PKS_mFAS_DH); IPR050091 (PKS_NRPS_Biosynth_Enz); IPR020806 (PKS_PP-bd); IPR009081 (PP-bd_ACP); IPR006162 (Ppantetheine_attach_site); IPR016039 (Thiolase-like),PF00698 (Acyl_transf_1); PF08240 (ADH_N); PF13602 (ADH_zinc_N_2); PF16197 (KAsynt_C_assoc); PF00109 (ketoacyl-synt); PF02801 (Ketoacyl-synt_C); PF08659 (KR); PF23114 (NAD-bd_HRPKS_sdrA); PF21089 (PKS_DH_N); PF00550 (PP-binding); PF14765 (PS-DH)
Q5BA83,EASB_EMENI,Highly reducing polyketide synthase easB,easB,,Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139) (Aspergillus nidulans),GO:0004315 (F:3-oxoacyl-[acyl-carrier-protein] synthase activity); GO:0008168 (F:methyltransferase activity); GO:0016491 (F:oxidoreductase activity); GO:0031177 (F:phosphopantetheine binding); GO:1900617 (P:emericellamide A biosynthetic process); GO:1900557 (P:emericellamide biosynthetic process); GO:0006633 (P:fatty acid biosynthetic process); GO:0032259 (P:methylation),2.3.1,IPR001227 (Ac_transferase_dom_sf); IPR036736 (ACP-like_sf); IPR014043 (Acyl_transferase_dom); IPR016035 (Acyl_Trfase/lysoPLipase); IPR013154 (ADH-like_N); IPR020843 (ER); IPR011032 (GroES-like_sf); IPR018201 (Ketoacyl_synth_AS); IPR014031 (Ketoacyl_synth_C); IPR014030 (Ketoacyl_synth_N); IPR057326 (KR_dom); IPR016036 (Malonyl_transacylase_ACP-bd); IPR013217 (Methyltransf_12); IPR036291 (NAD(P)-bd_dom_sf); IPR032821 (PKS_assoc); IPR020841 (PKS_Beta-ketoAc_synthase_dom); IPR042104 (PKS_dehydratase_sf); IPR020807 (PKS_DH); IPR049551 (PKS_DH_C); IPR049552 (PKS_DH_N); IPR013968 (PKS_KR); IPR049900 (PKS_mFAS_DH); IPR020806 (PKS_PP-bd); IPR050444 (Polyketide_Synthase); IPR009081 (PP-bd_ACP); IPR006162 (Ppantetheine_attach_site); IPR029063 (SAM-dependent_MTases_sf); IPR016039 (Thiolase-like),PF23297 (ACP_SdgA_C); PF00698 (Acyl_transf_1); PF08240 (ADH_N); PF13602 (ADH_zinc_N_2); PF16197 (KAsynt_C_assoc); PF00109 (ketoacyl-synt); PF02801 (Ketoacyl-synt_C); PF08659 (KR); PF08242 (Methyltransf_12); PF21089 (PKS_DH_N); PF14765 (PS-DH)
